row_type,session_id,run_id,agent_type,analyze_target,episode,winner,result_for_analyzed,duration_sec,agent_a_final_hp,agent_b_final_hp,attack_count,block_count,dodge_count,move_toward_count,move_back_count,move_side_count,total_action_count,attack_ratio_percent,block_ratio_percent,dodge_ratio_percent,move_toward_ratio_percent,move_back_ratio_percent,move_side_ratio_percent
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",64,"B","win",20.119,0.000,60.000,7,6,4,5,18,13,53,13.208,11.321,7.547,9.434,33.962,24.528
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",65,"B","win",20.142,0.000,60.000,7,6,4,5,18,14,54,12.963,11.111,7.407,9.259,33.333,25.926
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",66,"B","win",20.186,0.000,60.000,7,6,4,8,18,15,58,12.069,10.345,6.897,13.793,31.034,25.862
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",67,"B","win",20.097,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",68,"B","win",20.120,0.000,60.000,7,6,4,5,17,13,52,13.462,11.538,7.692,9.615,32.692,25.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",69,"B","win",19.917,0.000,60.000,7,6,3,4,18,14,52,13.462,11.538,5.769,7.692,34.615,26.923
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",70,"B","win",20.087,0.000,60.000,7,6,4,6,17,15,55,12.727,10.909,7.273,10.909,30.909,27.273
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",71,"B","win",14.128,0.000,100.000,5,4,3,4,9,4,29,17.241,13.793,10.345,13.793,31.034,13.793
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",72,"B","win",20.167,0.000,60.000,7,6,4,5,18,12,52,13.462,11.538,7.692,9.615,34.615,23.077
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",73,"B","win",20.330,0.000,60.000,7,6,4,6,17,13,53,13.208,11.321,7.547,11.321,32.075,24.528
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",74,"B","win",20.113,0.000,60.000,7,6,4,7,17,14,55,12.727,10.909,7.273,12.727,30.909,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",75,"B","win",20.169,0.000,60.000,7,6,4,7,16,14,54,12.963,11.111,7.407,12.963,29.630,25.926
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",76,"B","win",20.169,0.000,60.000,7,6,4,6,18,15,56,12.500,10.714,7.143,10.714,32.143,26.786
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",77,"B","win",20.183,0.000,60.000,7,6,4,5,16,14,52,13.462,11.538,7.692,9.615,30.769,26.923
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",78,"B","win",20.045,0.000,60.000,7,6,4,5,19,12,53,13.208,11.321,7.547,9.434,35.849,22.642
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",79,"B","win",20.137,0.000,60.000,7,6,4,7,18,13,55,12.727,10.909,7.273,12.727,32.727,23.636
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",80,"B","win",20.136,0.000,60.000,7,6,4,4,19,15,55,12.727,10.909,7.273,7.273,34.545,27.273
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",81,"B","win",20.150,0.000,60.000,7,6,4,5,19,14,55,12.727,10.909,7.273,9.091,34.545,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",82,"B","win",19.977,0.000,60.000,7,6,4,6,17,15,55,12.727,10.909,7.273,10.909,30.909,27.273
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",83,"B","win",20.333,0.000,60.000,7,6,4,6,17,11,51,13.725,11.765,7.843,11.765,33.333,21.569
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",84,"B","win",20.313,0.000,60.000,7,6,4,5,16,11,49,14.286,12.245,8.163,10.204,32.653,22.449
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",85,"B","win",20.063,0.000,60.000,7,6,4,5,18,13,53,13.208,11.321,7.547,9.434,33.962,24.528
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",86,"B","win",17.223,0.000,80.000,6,5,3,4,14,11,43,13.953,11.628,6.977,9.302,32.558,25.581
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",87,"B","win",20.127,0.000,60.000,7,6,4,4,16,13,50,14.000,12.000,8.000,8.000,32.000,26.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",88,"B","win",17.186,0.000,80.000,6,5,3,3,16,12,45,13.333,11.111,6.667,6.667,35.556,26.667
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",89,"B","win",20.134,0.000,60.000,7,6,4,5,16,11,49,14.286,12.245,8.163,10.204,32.653,22.449
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",90,"B","win",20.113,0.000,60.000,7,6,4,5,19,14,55,12.727,10.909,7.273,9.091,34.545,25.455
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",91,"B","win",20.232,0.000,60.000,7,6,4,4,18,13,52,13.462,11.538,7.692,7.692,34.615,25.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",92,"B","win",20.177,0.000,60.000,7,6,4,6,16,12,51,13.725,11.765,7.843,11.765,31.373,23.529
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",93,"B","win",17.191,0.000,80.000,6,5,3,5,15,12,46,13.043,10.870,6.522,10.870,32.609,26.087
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",94,"B","win",20.218,0.000,60.000,7,6,4,6,16,13,52,13.462,11.538,7.692,11.538,30.769,25.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",95,"B","win",20.197,0.000,60.000,7,6,4,5,17,13,52,13.462,11.538,7.692,9.615,32.692,25.000
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",96,"B","win",20.147,0.000,60.000,7,6,4,8,16,11,52,13.462,11.538,7.692,15.385,30.769,21.154
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",97,"B","win",20.175,0.000,60.000,7,6,4,5,18,15,55,12.727,10.909,7.273,9.091,32.727,27.273
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",98,"B","win",14.118,0.000,100.000,5,4,3,1,8,3,24,20.833,16.667,12.500,4.167,33.333,12.500
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",99,"B","win",20.145,0.000,60.000,7,6,4,6,17,15,55,12.727,10.909,7.273,10.909,30.909,27.273
"EPISODE","20260609_151525","DefenseBT_v01","BT","AgentB",100,"B","win",20.155,0.000,60.000,7,6,4,4,20,15,56,12.500,10.714,7.143,7.143,35.714,26.786
"SUMMARY","20260609_151525","DefenseBT_v01","BT","AgentB","ALL",,100,19.721,0.000,62.600,686,586,387,542,1755,1481,5437,12.617,10.778,7.118,9.969,32.279,27.239
